product_name,product_image_url,product_price,product_url,product_category
Lt Fashion Men's T-shirt Leisure  Business T-shirt (4 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/275774/1.jpg?4590,"₦ 5,550",https://www.jumia.com.ng/lt-fashion-mens-t-shirt-leisure-business-t-shirt-4-pieces-47757266.html,polos
 4 In 1 Designed Round Neck Polo - White Black Navy Wine,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/675606/1.jpg?8331,"₦ 7,999",https://www.jumia.com.ng/fashion-4-in-1-designed-round-neck-polo-white-black-navy-wine-60657651.html,polos
MP Freedom Polo & Cap Bundle  - White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/019175/1.jpg?1333,"₦ 3,150",https://www.jumia.com.ng/mp-freedom-polo-cap-bundle-white-57191058.html,polos
MP Hour Glass Polo & Cap Bundle  - Navy Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/701654/1.jpg?7200,"₦ 3,150",https://www.jumia.com.ng/mp-hour-glass-polo-cap-bundle-navy-blue-45610728.html,polos
MP Knight Polo & Cap Bundle  - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/701654/1.jpg?7198,"₦ 3,150",https://www.jumia.com.ng/mp-knight-polo-cap-bundle-black-45610724.html,polos
MP Black Panther Polo & Cap Bundle  - White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/701654/1.jpg?7198,"₦ 3,150",https://www.jumia.com.ng/mp-black-panther-polo-cap-bundle-white-45610720.html,polos
5 In 1 Unisex Round Neck Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/742206/1.jpg?1285,"₦ 6,500",https://www.jumia.com.ng/fashion-5-in-1-unisex-round-neck-polo-60224767.html,polos
Gaupucean Summer Cotton Embriodery Striped Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/989585/1.jpg?0227,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-cotton-embriodery-striped-men-short-sleeve-polo-shirt-58598905.html,polos
Gaupucean Summer Cotton Embriodery Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/569585/1.jpg?8972,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-cotton-embriodery-casual-men-short-sleeve-polo-shirt-58596529.html,polos
Lt Fashion Men's Polo Shirt Casual Business T-shirt (2 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/342974/1.jpg?9988,"₦ 4,800",https://www.jumia.com.ng/lt-fashion-mens-polo-shirt-casual-business-t-shirt-2-pieces-47924358.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/457356/1.jpg?4534,"₦ 3,500 - ₦ 3,990",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65375467.html,polos
Solid Color Simple Men's Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/579884/1.jpg?6290,"₦ 3,350",https://www.jumia.com.ng/fashion-solid-color-simple-mens-polo-shirt-48897522.html,polos
Gaupucean Summer Embriodery Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/669585/1.jpg?9043,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-embriodery-striped-casual-men-short-sleeve-polo-shirt-58596695.html,polos
Gaupucean Cotton Summer Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/865685/1.jpg?3819,"₦ 5,121",https://www.jumia.com.ng/gaupucean-cotton-summer-striped-casual-men-short-sleeve-polo-shirt-58656860.html,polos
Round Neck Cotton T-Shirt Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/223446/1.jpg?2807,"₦ 5,849",https://www.jumia.com.ng/fashion-round-neck-cotton-t-shirt-polo-64432263.html,polos
Solid Color Simple Men's Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/579884/1.jpg?6291,"₦ 3,350",https://www.jumia.com.ng/fashion-solid-color-simple-mens-polo-shirt-48897501.html,polos
6 In 1 Men's Round Neck And Collar Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/889316/1.jpg?7402,"₦ 8,500",https://www.jumia.com.ng/fashion-6-in-1-mens-round-neck-and-collar-polo-61398829.html,polos
New Men's Cotton Plus Size POLO Shirt Short Sleeve T-shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/907746/1.jpg?0527,"₦ 2,550",https://www.jumia.com.ng/fashion-new-mens-cotton-plus-size-polo-shirt-short-sleeve-t-shirt-64770932.html,polos
Pison Kings Are Born In August,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/912446/1.jpg?1995,"₦ 2,390",https://www.jumia.com.ng/fashion-pison-kings-are-born-in-august-64421945.html,polos
Set-of-Four Round Neck Polo For Men T-shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/068846/1.jpg?4885,"₦ 3,999",https://www.jumia.com.ng/fashion-set-of-four-round-neck-polo-for-men-t-shirt-64886012.html,polos
Men's Unique Golf Polo T-Shirts,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/591064/1.jpg?4100,"₦ 7,499 - ₦ 7,999",https://www.jumia.com.ng/fashion-mens-unique-golf-polo-t-shirts-46019577.html,polos
MP Alpha Polo & Cap Bundle  - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/019175/1.jpg?1333,"₦ 3,420",https://www.jumia.com.ng/mp-alpha-polo-cap-bundle-black-57191044.html,polos
Gaupucean Summer Embriodery Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/769585/1.jpg?9043,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-embriodery-striped-casual-men-short-sleeve-polo-shirt-58596712.html,polos
Lt Fashion Men's T-shirt Leisure  Business T-shirt (4 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/624636/1.jpg?1805,"₦ 5,488",https://www.jumia.com.ng/lt-fashion-mens-t-shirt-leisure-business-t-shirt-4-pieces-63642672.html,polos
6 In 1 MEN BLACK POLO T-SHIRTS WITH BUTTONS & COLLAR PLAIN,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/681576/1.jpg?6079,"₦ 8,500",https://www.jumia.com.ng/fashion-6-in-1-men-black-polo-t-shirts-with-buttons-collar-plain-67518634.html,polos
 2 Set Of Unisex Wine Round Neck Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/742206/1.jpg?1285,"₦ 3,999",https://www.jumia.com.ng/fashion-2-set-of-unisex-wine-round-neck-polo-60224790.html,polos
3 In 1 MEN QUALITY POLO T-SHIRTS WITH BUTTONS & COLLAR PLAIN,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/781576/1.jpg?6074,"₦ 5,000",https://www.jumia.com.ng/fashion-3-in-1-men-quality-polo-t-shirts-with-buttons-collar-plain-67518774.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/027356/1.jpg?3507,"₦ 4,100 - ₦ 4,690",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65372091.html,polos
Gaupucean Summer Fashion Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/969585/1.jpg?9039,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-fashion-striped-casual-men-short-sleeve-polo-shirt-58596964.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/757356/1.jpg?4590,"₦ 3,500 - ₦ 3,990",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65375742.html,polos
MP OJ T-Shirt & Cap Bundle  - Navy Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/019175/1.jpg?1334,"₦ 3,240",https://www.jumia.com.ng/mp-oj-t-shirt-cap-bundle-navy-blue-57191021.html,polos
Men's Stand Collar Solid Color Slim Short Sleeve Fashion V-neck POLO Shirt-White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/324066/1.jpg?3095,"₦ 3,999",https://www.jumia.com.ng/fashion-mens-stand-collar-solid-color-slim-short-sleeve-fashion-v-neck-polo-shirt-white-66042381.html,polos
Gaupucean Summer Cotton Embriodery Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/369585/1.jpg?8975,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-cotton-embriodery-casual-men-short-sleeve-polo-shirt-58596303.html,polos
5 Quality T-shirt And 3 Cap,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/218895/1.jpg?7177,"₦ 9,500 - ₦ 9,509",https://www.jumia.com.ng/fashion-5-quality-t-shirt-and-3-cap-59881250.html,polos
"Set- Of- Six ( 3 Round Neck T-shirt, 3 Cap)Yellow N.blue Wine- Navy Blue Red Black",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/217956/1.jpg?2554,"₦ 6,499",https://www.jumia.com.ng/fashion-set-of-six-3-round-neck-t-shirt-3-capyellow-n.blue-wine-navy-blue-red-black-65971221.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/237356/1.jpg?3755,"₦ 4,100 - ₦ 4,690",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65373249.html,polos
"Set- Of- Six ( 3 Round Neck T-shirt, 3 Cap)Yellow N.blue Wine- Navy Blue Red Black",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/724066/1.jpg?3211,"₦ 6,499",https://www.jumia.com.ng/fashion-set-of-six-3-round-neck-t-shirt-3-capyellow-n.blue-wine-navy-blue-red-black-66042765.html,polos
3 Set Of The North Face Round Neck Polo T-shirts,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/418895/1.jpg?7290,"₦ 5,899",https://www.jumia.com.ng/fashion-3-set-of-the-north-face-round-neck-polo-t-shirts-59881411.html,polos
4 In 1 Round Neck Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/389316/1.jpg?7377,"₦ 5,499",https://www.jumia.com.ng/fashion-4-in-1-round-neck-polo-61398306.html,polos
Solid Color Simple Men's Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/523884/1.jpg?4185,"₦ 3,350",https://www.jumia.com.ng/fashion-solid-color-simple-mens-polo-shirt-48832576.html,polos
Lt Fashion Men's T-shirt Leisure  Business T-shirt (4 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/275774/1.jpg?4590,"₦ 5,550",https://www.jumia.com.ng/lt-fashion-mens-t-shirt-leisure-business-t-shirt-4-pieces-47757266.html,polos
 4 In 1 Designed Round Neck Polo - White Black Navy Wine,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/675606/1.jpg?8331,"₦ 7,999",https://www.jumia.com.ng/fashion-4-in-1-designed-round-neck-polo-white-black-navy-wine-60657651.html,polos
MP Freedom Polo & Cap Bundle  - White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/019175/1.jpg?1333,"₦ 3,150",https://www.jumia.com.ng/mp-freedom-polo-cap-bundle-white-57191058.html,polos
MP Hour Glass Polo & Cap Bundle  - Navy Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/701654/1.jpg?7200,"₦ 3,150",https://www.jumia.com.ng/mp-hour-glass-polo-cap-bundle-navy-blue-45610728.html,polos
MP Knight Polo & Cap Bundle  - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/701654/1.jpg?7198,"₦ 3,150",https://www.jumia.com.ng/mp-knight-polo-cap-bundle-black-45610724.html,polos
MP Black Panther Polo & Cap Bundle  - White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/701654/1.jpg?7198,"₦ 3,150",https://www.jumia.com.ng/mp-black-panther-polo-cap-bundle-white-45610720.html,polos
5 In 1 Unisex Round Neck Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/742206/1.jpg?1285,"₦ 6,500",https://www.jumia.com.ng/fashion-5-in-1-unisex-round-neck-polo-60224767.html,polos
Gaupucean Summer Cotton Embriodery Striped Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/989585/1.jpg?0227,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-cotton-embriodery-striped-men-short-sleeve-polo-shirt-58598905.html,polos
Gaupucean Summer Cotton Embriodery Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/569585/1.jpg?8972,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-cotton-embriodery-casual-men-short-sleeve-polo-shirt-58596529.html,polos
Lt Fashion Men's Polo Shirt Casual Business T-shirt (2 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/342974/1.jpg?9988,"₦ 4,800",https://www.jumia.com.ng/lt-fashion-mens-polo-shirt-casual-business-t-shirt-2-pieces-47924358.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/457356/1.jpg?4534,"₦ 3,500 - ₦ 3,990",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65375467.html,polos
Solid Color Simple Men's Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/579884/1.jpg?6290,"₦ 3,350",https://www.jumia.com.ng/fashion-solid-color-simple-mens-polo-shirt-48897522.html,polos
Gaupucean Summer Embriodery Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/669585/1.jpg?9043,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-embriodery-striped-casual-men-short-sleeve-polo-shirt-58596695.html,polos
Gaupucean Cotton Summer Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/865685/1.jpg?3819,"₦ 5,121",https://www.jumia.com.ng/gaupucean-cotton-summer-striped-casual-men-short-sleeve-polo-shirt-58656860.html,polos
Round Neck Cotton T-Shirt Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/223446/1.jpg?2807,"₦ 5,849",https://www.jumia.com.ng/fashion-round-neck-cotton-t-shirt-polo-64432263.html,polos
Solid Color Simple Men's Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/579884/1.jpg?6291,"₦ 3,350",https://www.jumia.com.ng/fashion-solid-color-simple-mens-polo-shirt-48897501.html,polos
6 In 1 Men's Round Neck And Collar Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/889316/1.jpg?7402,"₦ 8,500",https://www.jumia.com.ng/fashion-6-in-1-mens-round-neck-and-collar-polo-61398829.html,polos
New Men's Cotton Plus Size POLO Shirt Short Sleeve T-shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/907746/1.jpg?0527,"₦ 2,550",https://www.jumia.com.ng/fashion-new-mens-cotton-plus-size-polo-shirt-short-sleeve-t-shirt-64770932.html,polos
Pison Kings Are Born In August,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/912446/1.jpg?1995,"₦ 2,390",https://www.jumia.com.ng/fashion-pison-kings-are-born-in-august-64421945.html,polos
Set-of-Four Round Neck Polo For Men T-shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/068846/1.jpg?4885,"₦ 3,999",https://www.jumia.com.ng/fashion-set-of-four-round-neck-polo-for-men-t-shirt-64886012.html,polos
Men's Unique Golf Polo T-Shirts,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/591064/1.jpg?4100,"₦ 7,499 - ₦ 7,999",https://www.jumia.com.ng/fashion-mens-unique-golf-polo-t-shirts-46019577.html,polos
MP Alpha Polo & Cap Bundle  - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/019175/1.jpg?1333,"₦ 3,420",https://www.jumia.com.ng/mp-alpha-polo-cap-bundle-black-57191044.html,polos
Gaupucean Summer Embriodery Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/769585/1.jpg?9043,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-embriodery-striped-casual-men-short-sleeve-polo-shirt-58596712.html,polos
Lt Fashion Men's T-shirt Leisure  Business T-shirt (4 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/624636/1.jpg?1805,"₦ 5,488",https://www.jumia.com.ng/lt-fashion-mens-t-shirt-leisure-business-t-shirt-4-pieces-63642672.html,polos
6 In 1 MEN BLACK POLO T-SHIRTS WITH BUTTONS & COLLAR PLAIN,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/681576/1.jpg?6079,"₦ 8,500",https://www.jumia.com.ng/fashion-6-in-1-men-black-polo-t-shirts-with-buttons-collar-plain-67518634.html,polos
 2 Set Of Unisex Wine Round Neck Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/742206/1.jpg?1285,"₦ 3,999",https://www.jumia.com.ng/fashion-2-set-of-unisex-wine-round-neck-polo-60224790.html,polos
3 In 1 MEN QUALITY POLO T-SHIRTS WITH BUTTONS & COLLAR PLAIN,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/781576/1.jpg?6074,"₦ 5,000",https://www.jumia.com.ng/fashion-3-in-1-men-quality-polo-t-shirts-with-buttons-collar-plain-67518774.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/027356/1.jpg?3507,"₦ 4,100 - ₦ 4,690",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65372091.html,polos
Gaupucean Summer Fashion Striped Casual Men Short Sleeve Polo Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/969585/1.jpg?9039,"₦ 5,121",https://www.jumia.com.ng/gaupucean-summer-fashion-striped-casual-men-short-sleeve-polo-shirt-58596964.html,polos
Men's T-shirt Leisure  Business T-shirt (3 Pieces),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/757356/1.jpg?4590,"₦ 3,500 - ₦ 3,990",https://www.jumia.com.ng/fashion-mens-t-shirt-leisure-business-t-shirt-3-pieces-65375742.html,polos
