product_name,product_image_url,product_price,product_url,product_category
Danami Button Designed Long Sleeve T-Shirt- Yellow,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/621636/1.jpg?9231,"₦ 3,500",https://www.jumia.com.ng//danami-button-designed-long-sleeve-t-shirt-yellow-63612609.html,t-shirts
Duke DOU LION 2 Print T-Shirt - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/415501/1.jpg?1497,"₦ 3,780",https://www.jumia.com.ng//duke-dou-lion-2-print-t-shirt-black-10551408.html,t-shirts
TEES BY WANNA Pray Tank - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/313906/1.jpg?6600,"₦ 3,150 - ₦ 3,600",https://www.jumia.com.ng//tees-by-wanna-pray-tank-black-60931367.html,t-shirts
Danami Plain Long Sleeve T-Shirt- Yellow,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/521636/1.jpg?9232,"₦ 3,200",https://www.jumia.com.ng//danami-plain-long-sleeve-t-shirt-yellow-63612581.html,t-shirts
TEES BY WANNA Keep It Simple T-shirt - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/413906/1.jpg?6626,"₦ 3,600 - ₦ 4,500",https://www.jumia.com.ng//tees-by-wanna-keep-it-simple-t-shirt-black-60931450.html,t-shirts
2 Piece Men's Round Neck Short Sleeve Shirt & Shorts - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/725175/1.jpg?8585,"₦ 2,999",https://www.jumia.com.ng//fashion-2-piece-mens-round-neck-short-sleeve-shirt-shorts-black-57152796.html,t-shirts
4 Pcs Mens Cotton T-shirts Short Sleeve Tops,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/216535/1.jpg?8003,"₦ 4,600",https://www.jumia.com.ng//fashion-4-pcs-mens-cotton-t-shirts-short-sleeve-tops-53561286.html,t-shirts
Black T-shirt Marshmellow Print,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/384764/1.jpg?4248,"₦ 3,500",https://www.jumia.com.ng//fashion-black-t-shirt-marshmellow-print-46748343.html,t-shirts
Sequels Collection 2 In 1 Stripped Fashion Bundle,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/763435/1.jpg?1436,"₦ 4,250",https://www.jumia.com.ng//sequels-collection-2-in-1-stripped-fashion-bundle-53436762.html,t-shirts
Black T-shirt Money Heist Masked Print,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/653064/1.jpg?0720,"₦ 4,000",https://www.jumia.com.ng//fashion-black-t-shirt-money-heist-masked-print-46035698.html,t-shirts
TEES BY WANNA Trust No One T-shirt - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/513906/1.jpg?6653,"₦ 4,500 - ₦ 5,400",https://www.jumia.com.ng//tees-by-wanna-trust-no-one-t-shirt-black-60931548.html,t-shirts
2 Piece Men's Round Neck Short Sleeve Shirt & Shorts - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/689925/1.jpg?0273,"₦ 2,999",https://www.jumia.com.ng//fashion-2-piece-mens-round-neck-short-sleeve-shirt-shorts-black-52998626.html,t-shirts
2 In 1 Men's Trendy Collar Shirt Casual Set,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/227064/1.jpg?9967,"₦ 2,500 - ₦ 2,800",https://www.jumia.com.ng//fashion-2-in-1-mens-trendy-collar-shirt-casual-set-46072287.html,t-shirts
White T-shirt With Bear Print,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/073906/1.jpg?9408,"₦ 3,500",https://www.jumia.com.ng//fashion-white-t-shirt-with-bear-print-60937058.html,t-shirts
Off - White Original Top,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/023446/1.jpg?2089,"₦ 7,000",https://www.jumia.com.ng//fashion-off-white-original-top-64432090.html,t-shirts
Danami Throne Of Grace T-Shirt- Light Grey,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/293515/1.jpg?8936,"₦ 3,400",https://www.jumia.com.ng//danami-throne-of-grace-t-shirt-light-grey-51539281.html,t-shirts
2 In 1 Men's Collar Embroidered T-Shirt Set,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/227064/1.jpg?9967,"₦ 2,500 - ₦ 2,700",https://www.jumia.com.ng//fashion-2-in-1-mens-collar-embroidered-t-shirt-set-46072278.html,t-shirts
2 Piece Men's Round Neck Short Sleeve Shirt & Shorts,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/689925/1.jpg?8700,"₦ 2,999",https://www.jumia.com.ng//fashion-2-piece-mens-round-neck-short-sleeve-shirt-shorts-52998616.html,t-shirts
Gildan GILDAN Cotton T Shirt Fashion Mens T-shirt Homme Men's Long Sleeved O-neck Solid Color Casual Tops Tees,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/808466/1.jpg?8162,"₦ 3,440",https://www.jumia.com.ng//gildan-gildan-cotton-t-shirt-fashion-mens-t-shirt-homme-mens-long-sleeved-o-neck-solid-color-casual-tops-tees-66480831.html,t-shirts
White T-shirt Unisex With Explicit,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/620064/1.jpg?6043,"₦ 3,000 - ₦ 3,500",https://www.jumia.com.ng//fashion-white-t-shirt-unisex-with-explicit-46002610.html,t-shirts
Polo T-shirt And Short Nika White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/096665/1.jpg?6245,"₦ 6,500",https://www.jumia.com.ng//fashion-polo-t-shirt-and-short-nika-white-56669006.html,t-shirts
Unisex Men T-shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/839075/1.jpg?3701,"₦ 3,200",https://www.jumia.com.ng//fashion-unisex-men-t-shirt-57093894.html,t-shirts
