product_name,product_image_url,product_price,product_url,product_category
Jones Wears No Pain No Gain Tank In White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/210415/1.jpg?6131,"₦ 3,000 - ₦ 8,000",https://www.jumia.com.ng/jones-wears-no-pain-no-gain-tank-in-white-51401263.html,tanks
"3 In 1 Men's Tank Top ( Armless, Fitness Wear) ",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/804255/1.jpg?4942,"₦ 5,499",https://www.jumia.com.ng/fashion-3-in-1-mens-tank-top-armless-fitness-wear-55240837.html,tanks
"Jones Wears Pack Of Three (3) No Dream No Gains Tanks  In Dark Red, Grey, Royal Blue",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/210415/1.jpg?6130,"₦ 8,000 - ₦ 15,000",https://www.jumia.com.ng/jones-wears-pack-of-three-3-no-dream-no-gains-tanks-in-dark-red-grey-royal-blue-51401259.html,tanks
Men's 3 Pack Tank Top Fitness Sleeveless Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/144255/1.jpg?6142,"₦ 5,499",https://www.jumia.com.ng/fashion-mens-3-pack-tank-top-fitness-sleeveless-shirt-55244114.html,tanks
Sequels Collection Multicoloured Tank Top,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/928454/1.jpg?4738,"₦ 1,700",https://www.jumia.com.ng/sequels-collection-multicoloured-tank-top-45482920.html,tanks
Sequels Collection Green Flagged With Black Detailed Tank Top,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/928454/1.jpg?5092,"₦ 1,700",https://www.jumia.com.ng/sequels-collection-green-flagged-with-black-detailed-tank-top-45482918.html,tanks
Sequels Collection Grey Podka Dot With Black Detailed Tank Top,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/928454/1.jpg?4738,"₦ 1,700",https://www.jumia.com.ng/sequels-collection-grey-podka-dot-with-black-detailed-tank-top-45482926.html,tanks
Jones Wears No Dream No Gains Tank In Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/093515/1.jpg?8852,"₦ 3,000 - ₦ 5,000",https://www.jumia.com.ng/jones-wears-no-dream-no-gains-tank-in-black-51539028.html,tanks
Sequels Collection Animal Skin Tank Top,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/928454/1.jpg?5091,"₦ 1,700",https://www.jumia.com.ng/sequels-collection-animal-skin-tank-top-45482919.html,tanks
Jones Wears Muscle Armed Tank In Orange,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/210415/1.jpg?6131,"₦ 3,000 - ₦ 5,000",https://www.jumia.com.ng/jones-wears-muscle-armed-tank-in-orange-51401261.html,tanks
Men's Military Combat Shirt Long Sleeve T-Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/135864/1.jpg?6528,"₦ 3,875 - ₦ 3,937",https://www.jumia.com.ng/fashion-mens-military-combat-shirt-long-sleeve-t-shirt-46853169.html,tanks
Men's Military Combat Shirt Long Sleeve T-Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/135864/1.jpg?6654,"₦ 3,875 - ₦ 3,937",https://www.jumia.com.ng/fashion-mens-military-combat-shirt-long-sleeve-t-shirt-46853119.html,tanks
Men's Military Combat Shirt Long Sleeve T-Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/265864/1.jpg?7252,"₦ 3,875 - ₦ 3,937",https://www.jumia.com.ng/fashion-mens-military-combat-shirt-long-sleeve-t-shirt-46856226.html,tanks
Target Collection USA Lovely Girl's Ribbed V Neck Knit Tank Top ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/559785/1.jpg?3314,"₦ 4,995",https://www.jumia.com.ng/target-collection-usa-lovely-girls-ribbed-v-neck-knit-tank-top-58795534.html,tanks
