product_name,product_image_url,product_price,product_url,product_category
Andrezzy Stitches White Senator Wear,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/731514/1.jpg?4054,"₦ 10,000 - ₦ 12,000",https://www.jumia.com.ng/andrezzy-stitches-white-senator-wear-41513794.html,traditional-mens
Andrezzy Stitches Men’s Navy Blue Checkers Cashmere Sanator,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/687223/1.jpg?3331,"₦ 10,000 - ₦ 12,000",https://www.jumia.com.ng/andrezzy-stitches-mens-navy-blue-checkers-cashmere-sanator-32278605.html,traditional-mens
Complete Men Native Wear White Long Sleeve,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/469813/1.jpg?3506,"₦ 9,990",https://www.jumia.com.ng/fashion-complete-men-native-wear-white-long-sleeve-31896484.html,traditional-mens
ACE Men's Senator Attire- Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/809701/1.jpg?1270,"₦ 12,000",https://www.jumia.com.ng/ace-mens-senator-attire-black-10790823.html,traditional-mens
Andrezzy Stitches Men’s Mixed Up Native,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/012382/1.jpg?5017,"₦ 10,000",https://www.jumia.com.ng/andrezzy-stitches-mens-mixed-up-native-28321094.html,traditional-mens
Andrezzy Stitches Men Checkers Trad,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/780814/1.jpg?9372,"₦ 11,000",https://www.jumia.com.ng/andrezzy-stitches-men-checkers-trad-41808731.html,traditional-mens
Men's Senator Wear- Brown,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/485283/1.jpg?7494,"₦ 9,900 - ₦ 11,250",https://www.jumia.com.ng/fashion-mens-senator-wear-brown-38258422.html,traditional-mens
DesubClassic Trendy Men Native Wear - Brown,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/962064/1.jpg?0297,"₦ 15,900",https://www.jumia.com.ng/desubclassic-trendy-men-native-wear-brown-46026925.html,traditional-mens
Blue Detail Senator,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/196375/1.jpg?1632,"₦ 17,000",https://www.jumia.com.ng/fashion-blue-detail-senator-57369153.html,traditional-mens
DesubClassic Men Native Wear - Dope White Kaftan,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/669054/1.jpg?2535,"₦ 16,900",https://www.jumia.com.ng/desubclassic-men-native-wear-dope-white-kaftan-45096662.html,traditional-mens
DesubClassic Men Native Dress - Black Native Wear,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/059374/1.jpg?4366,"₦ 18,000",https://www.jumia.com.ng/desubclassic-men-native-dress-black-native-wear-47395064.html,traditional-mens
ACE Senator Attire-Grey,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/675011/1.jpg?5764,"₦ 13,000",https://www.jumia.com.ng/ace-senator-attire-grey-11057663.html,traditional-mens
ACE Men's Senator Wear- Onions,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/242734/1.jpg?8238,"₦ 15,000",https://www.jumia.com.ng/ace-mens-senator-wear-onions-43724225.html,traditional-mens
Mens Long Sleeve Shirts Traditional Culture Shirt-Green,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/561905/1.jpg?7389,"₦ 4,000 - ₦ 5,300",https://www.jumia.com.ng/fashion-mens-long-sleeve-shirts-traditional-culture-shirt-green-50916579.html,traditional-mens
Legendary Quality Senator Wear -Red,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/760136/1.jpg?5221,"₦ 15,999 - ₦ 18,999",https://www.jumia.com.ng/fashion-legendary-quality-senator-wear-red-63106740.html,traditional-mens
DesubClassic Men Native Dress - Blue Native Wear,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/189374/1.jpg?4649,"₦ 17,000",https://www.jumia.com.ng/desubclassic-men-native-dress-blue-native-wear-47398106.html,traditional-mens
Senator Native Wear - Purple,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/985734/1.jpg?5062,"₦ 30,000 - ₦ 32,000",https://www.jumia.com.ng/fashion-senator-native-wear-purple-43758905.html,traditional-mens
GeneAfrica Kaftan Men's Senator Attire - Black,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/693392/1.jpg?3412,"₦ 6,166",https://www.jumia.com.ng/geneafrica-kaftan-mens-senator-attire-black-29339699.html,traditional-mens
"Royalty, Feel Royal With This Outfit",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/677124/1.jpg?8430,"₦ 11,000",https://www.jumia.com.ng/fashion-royalty-feel-royal-with-this-outfit-42177638.html,traditional-mens
