product_name,product_image_url,product_price,product_url,product_category
"Men's 3in1 Chinoz Trouser Blue,carton,and,Deep Green",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/930626/1.jpg?8969,"₦ 10,900 - ₦ 11,900",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trouser-bluecartonanddeep-green-62603929.html,trousers
Men's Classy Chinos Trouser - Cream,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/419175/1.jpg?1816,"₦ 4,250",https://www.jumia.com.ng/fashion-mens-classy-chinos-trouser-cream-57191462.html,trousers
Men's 3in1 Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/731595/1.jpg?4498,"₦ 11,000",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trousers-59513722.html,trousers
Plain Black  Suit Trouser For Men,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/113475/1.jpg?8095,"₦ 4,500",https://www.jumia.com.ng/fashion-plain-black-suit-trouser-for-men-57431151.html,trousers
Men's 2in1 Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/736664/1.jpg?8988,"₦ 7,000",https://www.jumia.com.ng/fashion-mens-2in1-chinoz-trousers-46663762.html,trousers
3 In 1 Men Chinos Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/381606/1.jpg?3486,"₦ 8,500",https://www.jumia.com.ng/fashion-3-in-1-men-chinos-trousers-60618367.html,trousers
Men's 3in1 Chinoz Trouser Brown Grey Navy Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/619175/1.jpg?3406,"₦ 10,999",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trouser-brown-grey-navy-blue-57191693.html,trousers
Casual Men Chinos Trouser 3 In 1,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/817756/1.jpg?8833,"₦ 8,500",https://www.jumia.com.ng/fashion-casual-men-chinos-trouser-3-in-1-65771872.html,trousers
Men's Chinoz Trouser,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/637364/1.jpg?1269,"₦ 3,227 - ₦ 3,500",https://www.jumia.com.ng/fashion-mens-chinoz-trouser-46373668.html,trousers
Men 3 In 1 Suit Material Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/587066/1.jpg?0829,"₦ 10,000",https://www.jumia.com.ng/fashion-men-3-in-1-suit-material-trousers-66078551.html,trousers
2 In 1 Men Suit Plain Material Trouser,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/087436/1.jpg?2825,"₦ 9,100",https://www.jumia.com.ng/fashion-2-in-1-men-suit-plain-material-trouser-63478074.html,trousers
Men's High Quality Chinoz Trousers Brown,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/151384/1.jpg?2744,"₦ 6,499 - ₦ 6,500",https://www.jumia.com.ng/fashion-mens-high-quality-chinoz-trousers-brown-48315101.html,trousers
"Men Chinos 3in 1 - Black, Brown, Green",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/419175/1.jpg?1993,"₦ 10,200 - ₦ 10,625",https://www.jumia.com.ng/fashion-men-chinos-3in-1-black-brown-green-57191499.html,trousers
