product_name,product_image_url,product_price,product_url,product_category
100% Cotton Premium Inner Wear 3-in-1 White Singlet,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/570546/1.jpg?2128,"₦ 2,635",https://www.jumia.com.ng/fashion-100-cotton-premium-inner-wear-3-in-1-white-singlet-64507529.html,vests
Ripped Bottom Men's Harmless Round Neck Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/012006/1.jpg?6633,"₦ 3,999",https://www.jumia.com.ng/fashion-ripped-bottom-mens-harmless-round-neck-shirt-60021054.html,vests
Olo Men's Spandex T-Shirt - White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/266055/1.jpg?4033,"₦ 4,500",https://www.jumia.com.ng/olo-mens-spandex-t-shirt-white-55066229.html,vests
100% Cotton Premium Inner Wear 3-in-1 White Singlet,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/298816/1.jpg?5928,"₦ 3,900 - ₦ 3,999",https://www.jumia.com.ng/fashion-100-cotton-premium-inner-wear-3-in-1-white-singlet-61889243.html,vests
Men's Sleeveless Denim Vest Slim Fit Jeans Vests,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/285764/1.jpg?5216,"₦ 3,452 - ₦ 3,512",https://www.jumia.com.ng/fashion-mens-sleeveless-denim-vest-slim-fit-jeans-vests-46758240.html,vests
Byc BYC VEST,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/645056/1.jpg?4833,"₦ 3,000 - ₦ 3,200",https://www.jumia.com.ng/byc-byc-vest-65054633.html,vests
Men's Sleeveless Denim Vest Slim Fit Jeans Vests,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/185764/1.jpg?0466,"₦ 3,452 - ₦ 3,512",https://www.jumia.com.ng/fashion-mens-sleeveless-denim-vest-slim-fit-jeans-vests-46758192.html,vests
Men's Sleeveless Denim Vest Slim Fit Jeans Vests,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/285764/1.jpg?5268,"₦ 3,452 - ₦ 3,512",https://www.jumia.com.ng/fashion-mens-sleeveless-denim-vest-slim-fit-jeans-vests-46758270.html,vests
4 In 1 Plain White Polo,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/876654/1.jpg?8677,"₦ 7,000",https://www.jumia.com.ng/fashion-4-in-1-plain-white-polo-45667861.html,vests
2 In 1 Men's Casual Vest,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/029926/1.jpg?4863,"₦ 5,668",https://www.jumia.com.ng/fashion-2-in-1-mens-casual-vest-62992058.html,vests
